"plant_ID","Family","Population","Region","Latitude","Longitude","Elevation","Bed","mBed","Garden","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0","Value","Trait"
"ALB_05_VT_A","ALB_05","ALB","Core",44.30182,70.83729,573,"A","Vermont_A","Vermont",1.41420272126659,-1.30388405946336,-3.44541897005897,-5.80837560984597,34.1,968,39.25,531.5,568.5,"BudBreak"
"ALB_05_NC_C","ALB_05","ALB","Core",44.30182,70.83729,573,"C","North_Carolina_C","North_Carolina",1.41420272126659,-1.30388405946336,-9.85361058869086,-5.01016433622286,34.1,968,37.75,53.5,750.9,"BudBreak"
"ALB_05_MD_B","ALB_05","ALB","Core",44.30182,70.83729,573,"B","Maryland_B","Maryland",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5,674.8,"BudBreak"
"ALB_05_NC_A","ALB_05","ALB","Core",44.30182,70.83729,573,"A","North_Carolina_A","North_Carolina",1.41420272126659,-1.30388405946336,-9.85361058869086,-5.01016433622286,34.1,968,37.75,53.5,725.5,"BudBreak"
"ALB_05_MD_D","ALB_05","ALB","Core",44.30182,70.83729,573,"D","Maryland_D","Maryland",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5,674.8,"BudBreak"
"ALB_05_VT_C","ALB_05","ALB","Core",44.30182,70.83729,573,"C","Vermont_C","Vermont",1.41420272126659,-1.30388405946336,-3.44541897005897,-5.80837560984597,34.1,968,39.25,531.5,591.2,"BudBreak"
"ALB_05_NC_D","ALB_05","ALB","Core",44.30182,70.83729,573,"D","North_Carolina_D","North_Carolina",1.41420272126659,-1.30388405946336,-9.85361058869086,-5.01016433622286,34.1,968,37.75,53.5,725.5,"BudBreak"
"ALB_05_MD_C","ALB_05","ALB","Core",44.30182,70.83729,573,"C","Maryland_C","Maryland",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5,665.65,"BudBreak"
"ALB_05_VT_B","ALB_05","ALB","Core",44.30182,70.83729,573,"B","Vermont_B","Vermont",1.41420272126659,-1.30388405946336,-3.44541897005897,-5.80837560984597,34.1,968,39.25,531.5,523.95,"BudBreak"
"ALB_05_VT_E","ALB_05","ALB","Core",44.30182,70.83729,573,"E","Vermont_E","Vermont",1.41420272126659,-1.30388405946336,-3.44541897005897,-5.80837560984597,34.1,968,39.25,531.5,591.2,"BudBreak"
