"","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","initial_ht","Height_Fall2019","Growth"
"141","ALB_06_VT_D","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"VT_D","Vermont","D",2,56,4,2,14,16.5,31.5,15
"142","ALB_06_VT_E","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"VT_E","Vermont","E",4,42,3,4,14,16,31,15
"143","APP_01_MD_A","APP_01","APP","VT","Core",44.20933,72.9295,743,"MD_A","Maryland","A",6,37,3,6,9,23,23.5,0.5
"144","APP_01_MD_B","APP_01","APP","VT","Core",44.20933,72.9295,743,"MD_B","Maryland","B",5,21,2,5,5,20.5,32.5,12
"145","APP_01_MD_C","APP_01","APP","VT","Core",44.20933,72.9295,743,"MD_C","Maryland","C",6,44,4,6,2,13,30.5,17.5
"146","APP_01_MD_D","APP_01","APP","VT","Core",44.20933,72.9295,743,"MD_D","Maryland","D",5,12,1,5,12,16,14.5,-1.5
"147","APP_01_MD_E","APP_01","APP","VT","Core",44.20933,72.9295,743,"MD_E","Maryland","E",6,9,1,6,9,18,30,12
"148","APP_01_NC_A","APP_01","APP","VT","Core",44.20933,72.9295,743,"NC_A","North_Carolina","A",5,47,4,5,5,10,19,9
"149","APP_01_NC_B","APP_01","APP","VT","Core",44.20933,72.9295,743,"NC_B","North_Carolina","B",6,30,3,6,2,6.5,11.5,5
"150","APP_01_NC_C","APP_01","APP","VT","Core",44.20933,72.9295,743,"NC_C","North_Carolina","C",5,12,1,5,12,29.5,35.5,6
"151","APP_01_NC_D","APP_01","APP","VT","Core",44.20933,72.9295,743,"NC_D","North_Carolina","D",6,23,2,6,9,10,18,8
"152","APP_01_VT_A","APP_01","APP","VT","Core",44.20933,72.9295,743,"VT_A","Vermont","A",3,59,5,3,3,26.5,41,14.5
"153","APP_01_VT_B","APP_01","APP","VT","Core",44.20933,72.9295,743,"VT_B","Vermont","B",6,53,4,6,9,23.5,24,0.5
"154","APP_01_VT_C","APP_01","APP","VT","Core",44.20933,72.9295,743,"VT_C","Vermont","C",6,9,1,6,9,18.5,20,1.5
"155","APP_01_VT_D","APP_01","APP","VT","Core",44.20933,72.9295,743,"VT_D","Vermont","D",5,19,2,5,5,12,13,1
