plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudSet
APP_02_NC_A,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,A,5,41,3,5,13,241
APP_02_VT_A,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,A,3,35,3,3,7,215
APP_02_VT_B,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,B,3,10,1,3,10,222
APP_02_VT_E,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,E,4,56,4,4,14,244
APP_02_VT_C,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,C,2,27,2,2,13,200
APP_02_MD_A,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,A,5,61,5,5,5,199
APP_02_NC_B,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,B,4,42,3,4,14,206
APP_02_NC_C,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,C,3,21,2,3,7,206
APP_03_MD_B,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,B,3,25,2,3,11,199
APP_03_NC_A,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,A,3,53,4,3,11,206
APP_03_NC_B,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,B,4,12,1,4,12,206
APP_03_NC_E,APP_03,APP,VT,Core,44.22097,72.92639,896,North_Carolina,E,3,3,1,3,3,227
APP_03_VT_A,APP_03,APP,VT,Core,44.22097,72.92639,896,Vermont,A,4,45,4,4,3,222
APP_03_VT_E,APP_03,APP,VT,Core,44.22097,72.92639,896,Vermont,E,4,59,5,4,3,271
APP_03_VT_C,APP_03,APP,VT,Core,44.22097,72.92639,896,Vermont,C,3,3,1,3,3,209
APP_03_MD_C,APP_03,APP,VT,Core,44.22097,72.92639,896,Maryland,C,4,12,1,4,12,201
APP_03_VT_D,APP_03,APP,VT,Core,44.22097,72.92639,896,Vermont,D,3,25,2,3,11,209
APP_04_VT_C,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,C,4,49,4,4,7,236
APP_04_VT_B,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,B,4,31,3,4,3,278
APP_04_MD_A,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,A,4,17,2,4,3,204
APP_04_MD_B,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,B,2,60,5,2,4,199
APP_04_MD_C,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,C,5,44,4,5,2,202
APP_04_NC_A,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,A,6,11,1,6,11,195
APP_04_NC_B,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,B,5,30,3,5,2,196
APP_04_NC_C,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,C,6,47,4,6,5,196
APP_04_NC_E,APP_04,APP,VT,Core,44.2114,72.93122,741,North_Carolina,E,4,35,3,4,7,221
APP_04_VT_A,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,A,6,47,4,6,5,195
APP_04_VT_E,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,E,5,44,4,5,2,200
APP_04_VT_D,APP_04,APP,VT,Core,44.2114,72.93122,741,Vermont,D,6,11,1,6,11,271
APP_04_MD_D,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,D,6,33,3,6,5,202
APP_04_MD_E,APP_04,APP,VT,Core,44.2114,72.93122,741,Maryland,E,4,21,2,4,7,203
APP_05_VT_D,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,D,6,41,3,6,13,271
APP_05_VT_C,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,C,5,41,3,5,13,236
APP_05_VT_A,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,A,6,41,3,6,13,278
APP_05_MD_B,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,B,6,41,3,6,13,245
APP_05_MD_D,APP_05,APP,VT,Core,44.21034,72.93051,733,Maryland,D,6,27,2,6,13,212
APP_05_NC_A,APP_05,APP,VT,Core,44.21034,72.93051,733,North_Carolina,A,6,41,3,6,13,195
APP_05_VT_E,APP_05,APP,VT,Core,44.21034,72.93051,733,Vermont,E,6,61,5,6,5,244
