plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudBreak,cGDD,mBed,pPC1,pPC2,gPC1,gPC2,pEXT,pDD_0,gEXT,gDD_0
ALB_03_VT_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,C,3,57,5,3,1,143,568.5,Vermont_C,1.315944379,-1.515593296,-3.44541897,-5.80837561,34.3,960,39.25,531.5
ALB_03_NC_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,E,3,57,5,3,1,122,750.9,North_Carolina_E,1.315944379,-1.515593296,-9.853610589,-5.010164336,34.3,960,37.75,53.5
ALB_03_MD_D,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,D,5,52,4,5,10,135,642.5,Maryland_D,1.315944379,-1.515593296,-4.791044403,-3.537747468,34.3,960,36.4,282.5
ALB_05_VT_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,D,5,40,3,5,12,143,568.5,Vermont_D,1.414202721,-1.303884059,-3.44541897,-5.80837561,34.1,968,39.25,531.5
ALB_05_VT_A,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,A,5,57,5,5,1,143,568.5,Vermont_A,1.414202721,-1.303884059,-3.44541897,-5.80837561,34.1,968,39.25,531.5
ALB_05_NC_C,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,C,3,14,1,3,14,122,750.9,North_Carolina_C,1.414202721,-1.303884059,-9.853610589,-5.010164336,34.1,968,37.75,53.5
ALB_05_MD_B,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,B,5,40,3,5,12,141,674.8,Maryland_B,1.414202721,-1.303884059,-4.791044403,-3.537747468,34.1,968,36.4,282.5
ALB_05_NC_A,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,A,5,40,3,5,12,118,725.5,North_Carolina_A,1.414202721,-1.303884059,-9.853610589,-5.010164336,34.1,968,37.75,53.5
ALB_05_MD_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,D,3,14,1,3,14,141,674.8,Maryland_D,1.414202721,-1.303884059,-4.791044403,-3.537747468,34.1,968,36.4,282.5
ALB_05_VT_C,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,C,6,17,2,6,3,146,591.2,Vermont_C,1.414202721,-1.303884059,-3.44541897,-5.80837561,34.1,968,39.25,531.5
ALB_05_NC_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,D,4,58,5,4,2,118,725.5,North_Carolina_D,1.414202721,-1.303884059,-9.853610589,-5.010164336,34.1,968,37.75,53.5
ALB_05_MD_C,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,C,6,61,5,6,5,139,665.65,Maryland_C,1.414202721,-1.303884059,-4.791044403,-3.537747468,34.1,968,36.4,282.5
ALB_05_VT_B,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,B,4,13,1,4,13,136,523.95,Vermont_B,1.414202721,-1.303884059,-3.44541897,-5.80837561,34.1,968,39.25,531.5
ALB_05_VT_E,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,E,2,10,1,2,10,146,591.2,Vermont_E,1.414202721,-1.303884059,-3.44541897,-5.80837561,34.1,968,39.25,531.5
